id,category,ingredient
35,"['한식', '채식', '중식']","['마늘', '쪽파', '양파', '두부', '파프리카', '우유', '가지', '딸기', '감자', '깻잎', '닭고기', '시금치', '베이컨', '오징어', '돼지고기', '새우', '토마토', '쇠고기']"
36,"['중식', '일식', '한식', '채식', '양식']","['돼지고기', '베이컨', '두부', '깻잎', '파프리카', '레몬', '마늘', '새우', '시금치', '무', '토마토', '오이', '고구마', '쇠고기', '생강', '당근', '치즈', '우유', '쪽파', '양파', '멸치', '딸기', '오징어', '닭고기', '대파', '달걀', '애호박', '양배추']"
37,['중식'],"['오징어', '베이컨', '쇠고기', '양배추', '토마토', '새우', '딸기', '멸치', '가지']"
38,"['양식', '일식', '한식', '중식', '채식']","['파프리카', '무', '베이컨', '오징어', '생강', '감자', '오이', '멸치', '양배추', '쇠고기', '두부']"
39,['양식'],"['베이컨', '양배추', '치즈', '시금치']"
40,"['일식', '채식', '한식', '양식', '중식']","['오이', '달걀', '두부', '새우', '감자', '대파', '토마토', '베이컨', '생강', '양배추', '돼지고기', '마늘', '쇠고기', '딸기', '고구마']"
41,['한식'],"['오징어', '양파']"
42,['채식'],"['무', '치즈', '양파', '대파', '파프리카', '오징어', '생강', '시금치', '깻잎', '우유', '감자', '새우', '당근', '토마토', '돼지고기', '베이컨', '오이', '고구마', '멸치', '레몬']"
43,['양식'],"['달걀', '양배추', '애호박', '돼지고기', '오징어', '마늘', '깻잎', '딸기', '고구마', '파프리카', '멸치', '양파', '새우', '베이컨', '닭고기', '레몬', '생강', '감자', '우유', '무', '가지', '토마토', '두부']"
44,['한식'],"['닭고기', '치즈', '파프리카', '딸기', '두부', '오이', '우유', '새우', '생강', '애호박', '마늘', '멸치', '무', '양배추', '베이컨', '토마토', '레몬', '대파', '시금치', '깻잎', '양파', '돼지고기', '고구마', '달걀', '당근', '가지', '감자']"
45,"['양식', '한식', '중식', '일식']","['무', '생강', '가지']"
46,"['양식', '한식', '중식', '일식']","['애호박', '양배추', '베이컨', '돼지고기', '닭고기', '고구마', '딸기', '가지', '새우', '오징어', '멸치', '무', '오이', '당근', '치즈']"
47,"['일식', '한식', '중식', '채식', '양식']","['오징어', '닭고기', '무', '멸치', '돼지고기', '시금치', '오이', '레몬']"
48,"['채식', '일식']","['우유', '쇠고기', '토마토', '감자', '마늘', '무', '치즈', '양파', '레몬', '달걀', '딸기', '베이컨', '오징어', '돼지고기', '시금치', '애호박', '쪽파', '가지', '대파', '생강', '멸치', '양배추', '닭고기', '오이', '새우', '깻잎', '고구마', '두부']"
49,"['양식', '채식', '일식', '한식']","['감자', '새우', '파프리카', '오징어', '달걀', '두부', '돼지고기', '대파', '생강', '우유', '닭고기', '쇠고기', '애호박']"
50,"['양식', '채식', '일식', '한식']","['파프리카', '양파', '달걀', '우유', '오이', '멸치', '레몬', '치즈', '딸기', '당근', '오징어', '깻잎', '두부', '마늘', '가지', '대파', '감자', '무', '베이컨', '새우', '닭고기', '토마토', '쪽파']"
51,['양식'],"['감자', '당근', '파프리카', '무', '고구마', '시금치', '새우', '양배추', '마늘', '두부', '애호박', '생강', '오징어', '토마토', '오이', '쪽파', '달걀', '깻잎', '가지', '양파', '우유', '돼지고기', '레몬', '닭고기', '멸치']"
52,"['중식', '일식', '양식']","['우유', '두부', '시금치', '감자', '돼지고기', '양파', '베이컨', '새우', '고구마', '깻잎', '생강', '닭고기', '마늘', '멸치', '오이', '토마토', '대파', '치즈', '쇠고기', '레몬', '가지', '딸기', '오징어', '쪽파']"
53,"['중식', '일식', '양식', '채식']","['오이', '당근', '우유', '대파', '고구마', '치즈', '레몬', '시금치', '딸기', '멸치', '파프리카', '애호박', '양배추', '베이컨', '오징어', '무', '마늘', '새우', '쇠고기', '토마토', '생강', '깻잎', '감자', '양파']"
54,['일식'],"['시금치', '오이', '쇠고기']"
55,"['중식', '양식', '채식', '한식', '일식']","['무', '파프리카', '레몬', '멸치', '가지']"
56,"['한식', '양식', '중식', '일식']","['베이컨', '양배추', '우유', '가지', '파프리카', '오징어', '양파', '무', '달걀', '돼지고기', '딸기', '깻잎', '시금치', '토마토', '생강', '대파', '치즈', '새우', '오이', '레몬', '쪽파', '감자', '멸치', '애호박', '마늘', '닭고기', '쇠고기', '고구마', '당근', '두부']"
57,"['한식', '중식']","['멸치', '우유', '가지', '파프리카', '깻잎', '닭고기', '양배추', '토마토', '딸기', '레몬', '새우', '쇠고기', '대파', '당근', '오이', '쪽파']"
58,"['채식', '일식', '한식', '양식']","['당근', '두부', '치즈', '레몬', '쇠고기', '무', '양파', '새우', '시금치', '토마토', '마늘', '멸치']"
59,"['한식', '채식']","['쪽파', '딸기', '오이', '양배추', '감자', '돼지고기', '애호박', '생강', '당근', '오징어', '우유', '쇠고기', '레몬', '마늘', '베이컨']"
60,"['채식', '양식']","['치즈', '애호박', '달걀']"
61,"['일식', '한식']","['베이컨', '두부', '쪽파', '치즈', '깻잎', '돼지고기']"
62,"['양식', '중식', '채식', '일식', '한식']","['고구마', '베이컨', '쪽파', '멸치', '치즈', '레몬', '생강', '달걀', '돼지고기', '토마토', '가지', '쇠고기', '파프리카', '오징어', '대파', '닭고기', '무']"
63,"['일식', '양식']","['양파', '양배추', '두부', '치즈', '오이', '쪽파', '새우', '가지', '감자', '고구마', '닭고기', '쇠고기', '레몬', '베이컨', '달걀', '마늘', '시금치', '깻잎', '우유', '대파', '애호박', '멸치', '오징어', '당근', '토마토', '무', '생강']"
64,"['한식', '양식']","['감자', '대파', '멸치', '새우', '애호박', '파프리카', '오이', '레몬', '생강', '시금치', '딸기', '깻잎', '쇠고기', '당근', '마늘', '양파', '닭고기', '우유', '양배추', '고구마', '쪽파', '무', '두부', '오징어']"
65,"['양식', '일식', '한식', '중식']","['양배추', '생강', '깻잎', '쇠고기', '새우', '무']"
66,['채식'],"['새우', '오이', '쇠고기']"
67,"['한식', '일식', '중식', '채식', '양식']","['감자', '애호박', '오이', '달걀', '쇠고기', '마늘', '당근', '레몬', '무', '고구마', '쪽파', '시금치', '닭고기', '토마토', '생강', '오징어', '파프리카', '가지', '치즈', '우유', '새우']"
68,"['한식', '양식', '채식']","['우유', '오징어', '토마토', '치즈', '무', '두부', '깻잎', '애호박', '마늘', '시금치', '파프리카', '쇠고기', '돼지고기', '오이', '쪽파', '가지', '멸치', '당근', '감자', '레몬', '새우']"
69,"['한식', '양식', '채식', '중식', '일식']",['레몬']
70,"['양식', '한식', '일식', '채식', '중식']","['감자', '닭고기', '양배추', '고구마', '생강', '깻잎', '딸기', '마늘', '가지', '무', '치즈', '오징어', '돼지고기', '파프리카', '시금치', '두부']"
71,['양식'],"['닭고기', '가지', '달걀', '당근', '새우', '토마토', '생강']"
72,"['중식', '일식', '채식']","['베이컨', '딸기', '마늘', '파프리카', '당근', '감자', '양파', '멸치', '새우', '닭고기']"
73,"['중식', '일식', '한식']","['치즈', '쇠고기', '새우', '쪽파', '당근', '생강', '닭고기', '마늘', '우유', '달걀']"
74,['양식'],"['두부', '무', '마늘', '애호박', '시금치', '쪽파', '쇠고기', '고구마', '감자', '대파', '달걀', '파프리카', '토마토', '오이', '오징어', '생강', '딸기', '레몬', '베이컨', '가지', '새우', '멸치', '양배추', '돼지고기', '닭고기', '우유', '깻잎', '치즈']"
75,['중식'],"['레몬', '양배추', '시금치', '새우', '딸기', '무', '닭고기', '돼지고기']"
76,"['일식', '양식']","['레몬', '토마토', '대파', '무', '딸기', '오징어', '생강']"
77,"['양식', '일식']","['대파', '양파', '생강', '시금치', '오이', '레몬', '감자', '달걀', '가지', '쇠고기', '딸기', '우유', '돼지고기', '파프리카', '치즈', '두부', '베이컨', '양배추', '깻잎', '당근', '쪽파']"
78,"['채식', '일식', '한식']","['당근', '두부', '토마토', '감자', '멸치', '우유', '마늘', '닭고기', '돼지고기', '가지', '깻잎']"
79,"['한식', '중식', '일식']",['생강']
80,"['중식', '일식']","['레몬', '멸치', '감자', '양파', '베이컨', '새우', '오이', '당근', '쪽파', '양배추', '오징어', '대파', '닭고기', '딸기', '치즈', '마늘']"
81,"['일식', '양식', '중식']","['쇠고기', '애호박', '당근', '베이컨', '깻잎', '감자', '토마토', '시금치', '달걀', '새우', '돼지고기', '마늘', '고구마', '치즈', '멸치', '쪽파', '우유', '양파', '두부', '양배추', '생강']"
82,"['한식', '중식', '채식', '일식', '양식']","['오이', '마늘', '돼지고기', '멸치', '레몬', '대파', '생강', '토마토', '새우', '쇠고기', '양배추', '베이컨', '감자', '애호박', '달걀', '오징어', '양파', '닭고기', '딸기', '치즈', '두부', '가지', '파프리카', '시금치', '당근', '깻잎', '쪽파', '무', '고구마']"
83,"['중식', '양식', '채식', '일식']","['새우', '당근', '가지', '시금치', '감자', '고구마', '양파', '오이', '달걀', '베이컨', '무', '우유']"
84,"['중식', '한식', '채식', '양식']","['딸기', '베이컨', '마늘', '쪽파', '레몬', '닭고기', '양파', '토마토', '당근', '오이', '두부', '달걀']"
85,"['양식', '한식', '채식']","['파프리카', '감자', '레몬', '애호박', '멸치', '깻잎', '고구마', '대파', '새우', '달걀', '쪽파', '양배추', '쇠고기', '오이', '무', '베이컨', '가지', '마늘', '시금치', '양파', '당근', '치즈', '오징어', '닭고기', '생강', '두부', '딸기']"
86,"['한식', '채식', '중식', '일식', '양식']","['돼지고기', '애호박', '새우', '깻잎', '딸기', '오징어']"
87,"['양식', '일식', '채식', '한식']","['치즈', '오징어', '당근', '양배추', '쇠고기', '시금치', '닭고기', '달걀', '깻잎', '고구마', '생강', '무', '쪽파', '대파', '베이컨', '감자', '오이', '돼지고기', '우유']"
88,"['채식', '중식']","['멸치', '쪽파', '고구마', '새우', '양파', '치즈', '애호박', '닭고기', '양배추', '깻잎', '마늘', '달걀', '토마토', '당근']"
89,"['일식', '한식', '채식', '양식']","['쇠고기', '딸기', '가지', '두부', '생강', '멸치', '고구마', '레몬', '양파', '치즈', '돼지고기', '파프리카', '토마토', '오이', '애호박', '양배추', '당근']"
90,"['채식', '중식']","['베이컨', '감자', '대파', '돼지고기', '양파', '무', '당근', '닭고기', '쪽파', '생강', '마늘', '두부', '새우', '고구마', '오이', '가지', '치즈']"
91,"['채식', '일식']","['우유', '베이컨', '토마토', '생강', '오이', '애호박', '치즈', '깻잎', '무', '새우', '달걀', '당근', '두부', '고구마', '닭고기', '파프리카', '레몬', '대파', '멸치', '양배추', '가지', '마늘', '쇠고기', '양파']"
92,"['채식', '한식', '양식', '일식']","['달걀', '양파', '오징어', '닭고기', '쪽파', '오이', '돼지고기']"
93,"['양식', '채식', '한식', '중식', '일식']","['당근', '쪽파', '고구마', '두부', '무', '달걀', '애호박', '베이컨', '쇠고기', '파프리카', '양파', '마늘', '레몬', '양배추', '가지', '닭고기', '감자', '토마토', '딸기', '생강', '시금치', '치즈', '멸치', '대파', '오징어', '깻잎', '새우']"
94,['한식'],"['쪽파', '돼지고기', '딸기', '마늘', '가지', '달걀', '오이', '토마토', '시금치', '깻잎', '오징어', '새우', '감자', '생강', '애호박', '두부', '양파', '쇠고기', '우유', '양배추', '베이컨', '닭고기']"
95,"['중식', '한식', '채식', '일식', '양식']","['닭고기', '레몬', '베이컨', '멸치', '양파', '고구마', '오징어']"
96,"['양식', '중식', '한식']","['레몬', '대파', '우유', '토마토', '마늘', '쇠고기', '감자', '무', '가지', '생강', '쪽파', '베이컨', '닭고기', '양배추']"
97,"['중식', '채식', '한식', '일식']","['새우', '레몬', '가지', '치즈', '딸기', '멸치', '감자', '두부', '대파', '양배추', '깻잎', '오징어', '쪽파', '토마토', '우유', '베이컨', '당근', '오이', '닭고기', '쇠고기', '고구마', '양파', '달걀', '돼지고기']"
98,['중식'],"['시금치', '멸치', '감자', '달걀', '치즈', '새우']"
99,"['중식', '양식', '한식']","['감자', '새우', '가지', '쇠고기', '대파', '고구마', '당근', '치즈', '깻잎', '양배추', '애호박', '쪽파', '베이컨']"
100,"['채식', '일식']","['오이', '가지', '파프리카', '두부', '깻잎', '무', '레몬', '당근', '치즈', '쪽파', '오징어', '대파', '애호박', '멸치', '새우', '베이컨', '달걀', '시금치', '양배추', '쇠고기', '생강', '토마토', '닭고기', '양파', '마늘', '우유', '딸기', '돼지고기', '고구마', '감자']"
101,['채식'],"['대파', '감자', '달걀', '토마토', '오이', '당근', '시금치', '멸치', '새우', '딸기', '고구마', '양파', '두부', '치즈', '베이컨', '우유', '가지', '레몬', '마늘', '돼지고기', '오징어', '양배추', '깻잎', '애호박']"
102,['일식'],"['쇠고기', '무', '대파', '쪽파', '마늘', '돼지고기', '베이컨', '새우', '양파', '오이', '애호박', '두부', '파프리카', '시금치', '치즈', '깻잎', '토마토', '달걀', '당근']"
103,"['한식', '일식', '양식', '채식', '중식']","['오이', '두부', '양파', '파프리카', '새우', '달걀']"
104,"['양식', '중식', '채식']","['생강', '대파', '레몬', '애호박', '시금치', '베이컨', '우유', '파프리카', '당근', '무', '달걀', '두부', '토마토', '가지', '양배추', '딸기', '쪽파', '감자', '치즈', '깻잎', '양파', '고구마', '마늘', '쇠고기', '새우', '오이', '닭고기', '멸치', '오징어']"
105,['양식'],"['멸치', '오징어']"
106,"['중식', '양식', '채식']","['당근', '딸기', '가지', '감자', '두부', '쪽파', '애호박']"
107,['중식'],"['양배추', '딸기', '당근', '레몬', '멸치', '두부', '치즈', '생강', '베이컨', '쪽파', '감자', '시금치', '고구마', '토마토', '대파', '쇠고기', '양파', '파프리카', '우유', '오이']"
108,"['한식', '일식']","['대파', '달걀', '시금치', '가지', '파프리카', '토마토', '오징어', '무', '마늘']"
109,['중식'],"['쪽파', '생강', '쇠고기', '베이컨', '감자', '무', '깻잎', '닭고기']"
110,['중식'],"['베이컨', '두부', '딸기', '새우', '치즈', '양파', '오징어', '파프리카', '토마토', '깻잎', '감자', '대파', '양배추', '애호박', '시금치', '무', '쪽파', '우유', '당근', '가지', '닭고기', '쇠고기', '고구마', '멸치']"
111,"['중식', '한식', '일식', '채식']","['양파', '토마토', '우유', '시금치', '감자', '딸기', '대파', '레몬', '당근', '마늘', '베이컨', '파프리카', '멸치', '쇠고기', '달걀', '깻잎', '고구마', '오징어', '가지', '돼지고기', '쪽파']"
112,['중식'],"['딸기', '시금치', '쪽파', '깻잎', '멸치', '쇠고기', '대파', '돼지고기', '마늘', '당근', '치즈', '새우', '오징어', '애호박', '생강', '가지', '우유', '베이컨', '양배추', '파프리카', '무', '고구마', '닭고기', '달걀']"
113,"['양식', '한식', '채식']","['오이', '쇠고기', '두부', '고구마', '대파', '달걀', '양파', '딸기', '양배추', '토마토', '마늘', '시금치', '애호박']"
114,"['양식', '중식', '한식', '채식', '일식']",['두부']
115,"['채식', '한식', '중식']","['감자', '양파', '오징어', '깻잎', '쪽파', '레몬']"
116,"['채식', '한식', '양식', '중식']","['시금치', '당근', '대파', '닭고기', '양파', '치즈', '쪽파', '애호박', '베이컨', '멸치', '우유', '쇠고기', '오징어', '마늘', '생강', '깻잎', '달걀']"
117,"['일식', '한식', '채식', '중식', '양식']","['토마토', '새우', '시금치', '닭고기', '양파', '무', '돼지고기', '양배추', '우유', '두부', '베이컨', '달걀', '당근', '오징어', '오이', '고구마', '깻잎', '레몬', '쪽파', '치즈', '멸치', '감자', '생강', '마늘']"
118,"['양식', '일식']","['멸치', '애호박', '생강', '토마토', '우유', '베이컨', '가지', '시금치', '새우', '무', '오이', '쪽파', '달걀', '고구마', '두부', '닭고기', '감자', '치즈', '당근', '레몬', '양배추', '깻잎']"
119,"['채식', '일식', '한식']","['베이컨', '대파', '두부', '고구마', '치즈', '양파', '양배추', '가지', '닭고기', '쪽파', '딸기', '오징어', '쇠고기', '오이', '애호박', '멸치', '당근', '달걀', '새우', '마늘', '시금치', '우유', '무', '돼지고기', '토마토', '파프리카', '감자', '생강']"
120,"['양식', '채식', '중식']","['양배추', '쪽파', '가지', '깻잎', '새우', '오징어', '쇠고기', '애호박', '치즈', '오이', '파프리카']"
121,"['양식', '중식']","['딸기', '두부', '돼지고기', '당근', '베이컨', '우유', '애호박', '감자', '파프리카', '무', '오징어', '새우', '고구마', '달걀', '양파', '가지']"
122,"['양식', '한식', '채식']","['새우', '깻잎', '레몬']"
123,"['중식', '채식', '양식']","['무', '감자', '파프리카', '치즈', '베이컨', '당근', '쪽파', '멸치', '달걀', '오징어', '우유', '고구마', '가지', '딸기', '레몬', '쇠고기', '시금치', '새우', '닭고기', '두부', '오이', '생강', '깻잎', '대파', '양파', '양배추', '토마토', '마늘', '돼지고기']"
124,"['채식', '양식', '일식']","['마늘', '두부', '깻잎', '애호박', '무', '베이컨', '생강', '우유', '새우', '오징어', '양배추', '딸기', '고구마', '멸치', '돼지고기', '오이']"
125,"['한식', '중식', '채식', '일식']","['닭고기', '생강', '시금치', '쇠고기', '우유', '오이', '돼지고기', '레몬', '고구마', '달걀', '딸기', '토마토', '오징어', '양파', '두부', '당근', '쪽파', '마늘', '양배추', '무']"
126,"['일식', '채식', '양식', '중식', '한식']","['마늘', '고구마', '대파', '딸기', '베이컨']"
127,"['일식', '양식', '중식', '채식', '한식']",['두부']
128,"['채식', '중식']",['치즈']
129,['중식'],"['우유', '딸기', '새우', '마늘', '베이컨', '당근', '감자', '무', '돼지고기', '오이', '생강']"
130,"['양식', '일식', '한식']","['애호박', '쇠고기', '달걀', '가지', '시금치', '닭고기', '돼지고기', '레몬', '양배추', '오징어', '고구마', '딸기', '베이컨', '멸치', '토마토', '마늘', '감자']"
131,"['중식', '한식', '채식', '양식']","['파프리카', '양파', '베이컨', '생강', '달걀', '애호박', '레몬', '딸기', '무', '토마토', '시금치', '감자', '쇠고기', '고구마', '대파', '쪽파', '돼지고기', '오이', '멸치', '오징어', '당근', '깻잎']"
132,"['중식', '일식']","['레몬', '당근', '깻잎', '쪽파', '생강', '애호박', '돼지고기']"
133,"['양식', '일식', '한식']","['감자', '멸치', '깻잎', '당근', '쪽파']"
134,"['중식', '한식', '일식', '양식', '채식']","['깻잎', '돼지고기']"
135,"['채식', '일식', '중식']","['돼지고기', '가지', '딸기', '쇠고기', '생강', '감자', '베이컨', '레몬', '달걀', '무', '오이', '파프리카', '마늘', '쪽파', '토마토']"
136,"['한식', '중식', '채식', '일식']","['무', '닭고기', '쇠고기', '파프리카', '치즈', '토마토', '두부', '깻잎', '오징어', '감자', '시금치', '우유', '마늘', '가지', '쪽파', '멸치', '오이']"
137,"['채식', '한식', '양식']","['가지', '감자', '쇠고기', '오이', '오징어', '애호박', '딸기', '생강']"
138,"['중식', '양식', '채식']","['애호박', '닭고기', '치즈', '쇠고기', '시금치', '파프리카', '돼지고기', '딸기', '깻잎', '대파', '멸치', '쪽파', '새우', '감자', '오이', '두부', '가지', '당근', '토마토', '고구마', '우유']"
139,['일식'],['멸치']
140,"['한식', '일식', '채식']","['멸치', '당근', '쪽파', '오이', '두부', '파프리카', '닭고기', '베이컨', '가지', '토마토', '시금치', '치즈', '무', '쇠고기', '생강', '오징어', '양파', '레몬']"
141,"['양식', '중식', '한식']","['오이', '가지', '쇠고기', '시금치', '생강', '달걀', '두부', '마늘', '무', '치즈', '애호박', '양파', '베이컨', '닭고기', '고구마', '양배추', '우유', '깻잎', '딸기', '새우']"
142,"['양식', '일식', '중식', '채식', '한식']","['감자', '무', '새우', '가지', '대파', '베이컨', '양파', '쪽파', '생강', '닭고기', '토마토', '오징어', '치즈', '애호박', '파프리카', '고구마', '멸치', '양배추', '쇠고기', '우유', '마늘', '레몬', '두부']"
143,"['중식', '양식']","['닭고기', '새우', '딸기', '돼지고기', '가지', '치즈', '당근', '달걀', '시금치']"
144,"['양식', '채식', '중식', '한식', '일식']",['마늘']
145,"['채식', '한식', '양식']","['토마토', '양배추', '닭고기', '새우', '우유', '치즈', '돼지고기', '쪽파', '오이', '생강', '고구마', '오징어', '멸치', '시금치', '가지', '베이컨']"
146,"['채식', '일식', '한식']","['두부', '양파', '파프리카', '오이', '베이컨', '달걀', '가지']"
147,"['중식', '일식', '채식']","['멸치', '레몬', '양파', '깻잎', '고구마', '두부', '대파', '오징어', '치즈', '베이컨', '새우', '감자', '달걀', '시금치', '무', '닭고기', '딸기', '우유', '쪽파', '쇠고기', '토마토']"
148,"['중식', '일식', '채식', '한식', '양식']","['쇠고기', '고구마', '새우', '돼지고기', '마늘', '당근', '무', '가지', '파프리카', '양파', '애호박', '두부', '깻잎', '오이', '쪽파', '생강', '토마토', '양배추', '대파', '달걀']"
149,"['중식', '채식']","['돼지고기', '고구마', '닭고기', '양배추', '생강', '가지', '토마토', '베이컨', '애호박', '당근', '레몬', '달걀', '파프리카', '마늘', '쪽파', '시금치', '오이', '우유', '딸기']"
150,"['한식', '일식']","['양파', '양배추', '우유', '레몬', '대파', '달걀', '쪽파', '딸기', '오징어', '고구마', '베이컨', '새우', '깻잎', '무', '파프리카', '애호박', '오이', '마늘', '생강', '토마토', '닭고기', '당근', '시금치', '감자', '치즈', '멸치', '가지', '돼지고기', '쇠고기']"
151,"['한식', '일식', '채식']","['오징어', '우유', '레몬', '토마토', '고구마', '닭고기', '쇠고기', '베이컨', '대파', '오이', '시금치', '양파', '두부', '생강', '가지', '새우', '파프리카', '딸기', '달걀', '깻잎', '양배추', '멸치', '무', '치즈', '쪽파', '마늘', '돼지고기', '애호박', '감자', '당근']"
152,"['일식', '중식']","['새우', '레몬', '양파', '마늘', '우유', '쪽파', '애호박', '무', '깻잎', '돼지고기', '가지', '생강', '베이컨']"
153,"['일식', '한식', '채식', '양식']","['생강', '마늘', '우유', '감자', '쇠고기']"
154,"['한식', '중식', '일식', '양식', '채식']","['파프리카', '쪽파', '애호박', '치즈', '딸기', '돼지고기', '베이컨', '고구마', '마늘', '시금치', '감자', '오징어', '깻잎', '당근', '닭고기', '양배추', '오이', '토마토', '무', '쇠고기', '새우', '달걀', '두부', '레몬', '양파', '가지', '우유', '생강', '대파', '멸치']"
155,['중식'],"['양배추', '무', '양파', '쇠고기', '감자', '가지', '멸치', '애호박', '쪽파', '달걀', '우유', '닭고기', '당근', '오징어', '두부', '토마토']"
